word,coefficient,abs_coef
fukushima,1.1548614175495184,1.1548614175495184
yyc,1.1512412427668866,1.1512412427668866
arrest,1.148816737294887,1.148816737294887
return,1.1449314721790562,1.1449314721790562
die,1.136914833811931,1.136914833811931
ga,1.1338506314835957,1.1338506314835957
threaten,1.1260166807917578,1.1260166807917578
iran,1.1254595655585606,1.1254595655585606
wind,1.11440016107128,1.11440016107128
injur,1.1129771521505245,1.1129771521505245
libya,1.1092784868345478,1.1092784868345478
rescuer,1.1080197798763056,1.1080197798763056
helicopt,1.094944068248924,1.094944068248924
two,1.0925249215548503,1.0925249215548503
russia,1.0899659404777648,1.0899659404777648
snowstorm,1.0893217637516124,1.0893217637516124
boat,1.0865632833628471,1.0865632833628471
hijack,1.085107834259357,1.085107834259357
three,1.0792408802304598,1.0792408802304598
amid,1.0746363798731207,1.0746363798731207
blow,1.0735458671396467,1.0735458671396467
situat,1.0729680077813257,1.0729680077813257
event,1.066035048303932,1.066035048303932
alarm,1.0651621197313308,1.0651621197313308
huge,1.0634908475850249,1.0634908475850249
major,1.0579967016631056,1.0579967016631056
live,1.0522872808287338,1.0522872808287338
horribl,1.0515190808184007,1.0515190808184007
memori,1.048382713573616,1.048382713573616
countri,1.0436308702683461,1.0436308702683461
charg,1.0417946145333659,1.0417946145333659
power,1.0370928359600036,1.0370928359600036
horror,1.0329274096473686,1.0329274096473686
poor,1.0327646623376714,1.0327646623376714
afternoon,1.0304652351629358,1.0304652351629358
oil,1.0303747353656159,1.0303747353656159
mp,1.0265022036807512,1.0265022036807512
street,1.0243484430103973,1.0243484430103973
anoth,1.0153213965072858,1.0153213965072858
